min,max,color
0,1,#FFFFFF
2,3,#FAEBD7
4,5,#B0E0E6
6,7,#87CEFA
8,9,#00BFFF
10,12,#1E90FF
13,15,#3CB371
16,18,#90EE90
19,21,#7FFF00
22,24,#ADFF2F
25,27,#FFFF00
28,30,#FFA500
31,33,#FF8C00
34,36,#FF4500
37,39,#FF0000
40,42,#8B0000
43,45,#4B0082
46,48,#483D8B
49,51,#7B68EE
52,54,#E6E6FA
55,57,#D3D3D3
58,60,#A9A9A9
